id,title,ingredients,ingredients_normalized
814,Oatmeal Cake,"['1 1/2 c. boiling water', '1 c. oats', '1 c. brown sugar', '1 c. white sugar', '1 stick margarine', '2 eggs', '1 1/3 c. flour', '1 1/2 tsp. cinnamon', '1 tsp. soda', '1/2 tsp. salt']","""['water', 'oat', 'sugar', 'margarine', 'egg', 'flour', 'cinnamon', 'baking soda', 'salt']"""
815,Fried Apple Pies,"['4 cups of peeled and slice apples', '4 cups of water', '1/2 cup of sugar', '4 teaspoons of cinnamon', '6 cups of flour', '1 teaspoon of salt', '1 tablespoon of baking powder', '1 1/2 cups of vegetable shortening', '1 cup of milk', '2 cups of vegetable oil']","""['apple', 'water', 'sugar', 'cinnamon', 'flour', 'salt', 'baking powder', 'shortening', 'milk', 'vegetable oil']"""
816,Carrot Coins(Microwave),"['1 lb. medium-sized carrots, peeled and cut in 1/4-inch rounds (2 1/4 c.)', '3 Tbsp. water', '2 Tbsp. finely chopped fresh parsley or 1 Tbsp. dried', '1 Tbsp. butter or oleo', '1/4 tsp. ground ginger', '1/4 tsp. dried tarragon, crumbled', '1/8 tsp. garlic salt', '1/8 tsp. pepper (preferably white)']","""['carrot', 'water', 'parsley', 'butter', 'ginger', 'tarragon', 'garlic salt', 'pepper']"""
817,Spiced Fruit Salad,"['1/2 c. canned pineapple chunks (reserve 1/3 c. juice)', '1 cinnamon stick', '1/2 tsp. rum extract', '3/4 c. sliced fresh strawberries', '1/2 c. canned sliced peaches', '1/2 c. cantaloupe balls']","""['pineapple', 'cinnamon', 'rum extract', 'strawberry', 'peach', 'cantaloupe']"""
818,Orange-Pineapple Salad,"['2 c. mini marshmallows', '1 c. sour cream', '1 large can mandarin oranges, drained', '1 c. pineapple chunks, drained']","""['mini marshmallow', 'sour cream', 'mandarin orange', 'pineapple']"""
819,Coconut Pecan Frosting,"['1 c. evaporated milk', '1 c. sugar', '3 slightly beaten egg yolks', '1/2 c. butter', '1 tsp. vanilla', '1 1/3 c. Angel Flake coconut', '1 c. chopped pecans']","""['evaporated milk', 'sugar', 'egg yolk', 'butter', 'vanilla', 'coconut', 'pecan']"""
820,Haystacks,"['1 Tbsp. smooth peanut butter', '1 (3 oz.) can chow mein noodles', '1 (6 oz.) pkg. butterscotch morsels', '1 c. roasted peanuts']","""['peanut butter', 'chow mein noodles', 'butterscotch morsels', 'roasted peanut']"""
821,Triple Fudge Cake,"['1 (3 oz.) pkg. chocolate pudding and pie filling', '1 chocolate or white cake mix', '1 (6 oz.) pkg. chocolate chips', 'chopped nuts', 'whipped cream']","""['chocolate pudding and pie filling', 'chocolate', 'white', 'chocolate chips', 'nuts', 'whipped cream']"""
822,Skillet Barbecue Beans,"['1/2 lb. ground pork sausage', '1/2 c. chopped onion', '1/4 c. chopped green pepper', '1 (28 oz.) can pork and beans', '1 (3 1/2 oz.) envelope barbecue flavored seasoning and coating mix (for pork)']","""['ground pork sausage', 'onion', 'green pepper', 'pork and beans', 'barbecue flavored seasoning and coating mix']"""
823,Broccoli Casserole,"['1/2 c. butter', '1/2 c. celery', '1/2 c. onion, chopped fine', '1 c. cream of chicken soup', '1/2 pkg. broccoli, chopped', '2 c. cooked rice', '1 c. grated cheese']","""['butter', 'celery', 'onion', 'cream of chicken soup', 'broccoli', 'rice', 'cheese']"""
824,Peanut Butter Sticks,"['1 loaf sandwich bread', '1 jar peanut butter (12 oz.)', '1/2 c. cooking oil', '1 c. graham cracker crumbs', '1 1/2 c. confectioners sugar']","""['sandwich bread', 'peanut butter', 'oil', 'graham cracker', 'confectioners sugar']"""
825,Cinnamon Pull-Aparts,"['1 bag frozen rolls (Rhodes)', '1 small pkg. vanilla or butterscotch pudding mix (regular, not instant)', '3/4 c. melted butter', '1 tsp. cinnamon', '1 c. chopped nuts', '3/4 c. brown sugar', '1 qt. milk', '2/3 lb. butter or margarine', '1 1/2 c. sugar', '2 tsp. salt', '1 tsp. cardamon', '3 cakes yeast (fast-rising)', '12 c. flour', '3 eggs, beaten', '1 lb. mixed candied fruit (fruit cake mix)', '1 c. raisins', '1 pkg. dry yeast or 1 cake yeast (found in the dairy section of the grocery store)', '1/4 c. lukewarm water', '3/4 c. shortening', '1/2 c. sugar', '1/2 tsp. salt', '4 c. flour', '1 c. milk, scalded', '3 whole eggs', '1 tsp. vanilla']","""['frozen rolls', 'vanilla pudding mix', 'melted butter', 'cinnamon', 'chopped nuts', 'brown sugar', 'milk', 'butter or margarine', 'sugar', 'salt', 'cardamon', 'yeast', 'flour', 'eggs', 'mixed candied fruit', 'raisins', 'dry yeast', 'lukewarm water', 'shortening', 'scalded milk', 'whole eggs', 'vanilla']"""
826,Apple Dumplins,"['2 cans refrigerated crescent dinner rolls', '2 Granny Smith +cooking apples, peeled and cut in 8 pieces', '2 sticks margarine', '1 1/2 c. sugar', '1 tsp. cinnamon', '1 12 oz. can regular Mountain Dew, not diet']","""['crescent dinner roll', 'apple', 'margarine', 'sugar', 'cinnamon', 'mountain dew']"""
827,Hot Tuna Appetizer,"['1 (7 oz.) can water-packed tuna, drained and flaked', '12 anchovy fillets, chopped', '3/4 c. chopped green pepper', '1/2 c. chopped pimento', '1 egg, hard-cooked and chopped', '3 green onions, chopped', '1 c. Russian dressing', '1 1/2 Tbsp. cognac', '6 Tbsp. butter', '6 thin white bread slices, crusts removed', '1 Tbsp. Worcestershire sauce']","""['tuna', 'anchovy', 'green pepper', 'pimento', 'egg', 'green onion', 'russian dressing', 'cognac', 'butter', 'bread', 'worcestershire sauce']"""
828,Low-Fat Texas Trash,"['1 c. Cheerios', '1 c. Wheat Chex', '2 c. Rice Chex', '1 c. Corn Chex', '2 c. pretzel sticks', '1/8 c. apple juice', '4 Tbsp. Worcestershire sauce', '1/4 tsp. garlic powder', '1 tsp. onion powder']","""['cheerios', 'wheat chex', 'rice chex', 'corn chex', 'pretzel stick', 'apple juice', 'worcestershire sauce', 'garlic powder', 'onion powder']"""
829,Punch Bowl Cake,"['2 layer-size yellow cake mix', '2 (3 oz.) boxes instant vanilla pudding', '1 (20 oz.) can fruit cocktail, drained', '2 (8 oz.) cans crushed pineapple with juice', '1 (16 oz.) can cherry pie filling', '2 c. chopped pecans or walnuts', '2 (6 oz.) pkg. shredded or flaked coconut', '2 (8 oz.) c. frozen whipped topping, thawed', 'maraschino cherries (optional)']","""['yellow cake mix', 'instant vanilla pudding', 'fruit cocktail', 'crushed pineapple', 'cherry pie filling', 'pecan or walnut', 'shredded coconut', 'frozen whipped topping', 'maraschino cherries']"""
830,Quick Macaroons,"['3 large or 4 medium egg whites', '1 tsp. lemon juice', '1 c. shredded coconut', '1/2 c. sugar', '1/4 tsp. cream of tartar', '2 tsp. all-purpose flour']","""['egg white', 'lemon juice', 'coconut', 'sugar', 'baking soda', 'flour']"""
831,Seafood Casserole,"['2 lb. shrimp', '1 lb. scallops', '1/4 c. flour', '3 Tbsp. butter or margarine', '1 c. chopped mushrooms (optional)', '1 onion, chopped', '1 c. light cream', '1 c. buttered Ritz crackers', '2 c. water', '1/2 c. white wine']","""['shrimp', 'scallops', 'flour', 'butter', 'mushroom', 'onion', 'cream', 'cracker', 'water', 'wine']"""
832,Cheese Ball,"['1 lb. Cheddar cheese (mild)', '1 lb. Cheddar cheese (sharp)', '1 lb. Velveeta cheese', '1 lb. cream cheese', '1 Tbsp. Worcestershire sauce', '1 medium onion, chopped', 'chopped nuts']","""['cheddar cheese', 'cream cheese', 'worcestershire sauce', 'onion', 'nut']"""
833,Banana Split Cake,"['2 c. graham cracker crumbs', '3 sticks oleo', '2 eggs', '2 c. powdered sugar', '1 (No. 2) can crushed pineapple', '2 or more bananas', '1 large Cool Whip', 'nuts and chopped cherries']","""['graham cracker', 'oleo', 'egg', 'powdered sugar', 'crushed pineapple', 'banana', 'cool whip', 'nut', 'cherry']"""
834,English Muffin Loaf,"['2 pkg. yeast', '6 c. flour', '1 Tbsp. sugar', '2 tsp. salt', '2 c. milk', '1/4 tsp. baking soda', '1/2 c. water', 'cornmeal']","""['yeast', 'flour', 'sugar', 'salt', 'milk', 'baking soda', 'water', 'cornmeal']"""
835,Sweet Potato Casserole,"['3 c. cooked sweet potatoes, mashed', '1 c. sugar', '1/2 tsp. salt', '2 eggs, beaten', '1/2 stick margarine, melted', '1/2 c. milk', '1/2 tsp. vanilla']","""['sweet potato', 'sugar', 'salt', 'egg', 'margarine', 'milk', 'vanilla']"""
836,Crock-Pot Kielbasa,"['3 cans beer', '1 small bottle ketchup', '1 small jar mustard', '1 tsp. vinegar', '3/4 c. brown sugar', '2 or 3 kielbasa']","""['beer', 'ketchup', 'mustard', 'vinegar', 'brown sugar', 'kielbasa']"""
837,Homemade Chicken Noodle Soup,"['Chicken, cooked and deboned, save broth', '1 box garlic, chopped', '2 bunches green onions, chopped fine', '1 bunch parsley, chopped fine, but not the stems', '1 medium onion, chopped', '4 chicken bouillon cubes', '1 can chicken broth', '1 pkg. spaghetti noodles']","""['chicken', 'garlic', 'green onion', 'parsley', 'onion', 'chicken bouillon', 'chicken broth', 'spaghetti noodle']"""
838,Church Windows,"['1/2 c. oleo', '1 large package chocolate chips', '1 c. chopped nuts', '1 large bag miniature colored marshmallows', '1 can coconut']","""['oleo', 'chocolate chip', 'nut', 'marshmallow', 'coconut']"""
839,Blueberry Dumplings,"['2 1/2 c. blueberries (fresh or frozen)', '1/2 c. sugar', '1 c. water', '1 Tbsp. lemon juice', '1 c. self-rising flour', '1/4 c. sugar', '2 Tbsp. butter or margarine', '1/2 c. milk']","""['blueberry', 'sugar', 'water', 'lemon juice', 'flour', 'butter', 'milk']"""
840,Heavenly Hash,"['1 pt. whipping cream', '3 c. mini marshmallows', '1 tsp. vanilla', '1/4 c. sugar', '1 can drained pineapple tidbits (20 oz.)']","""['whipping cream', 'mini marshmallow', 'vanilla', 'sugar', 'pineapple tidbit']"""
841,Hamburger Potato Hot Dish,"['6 potatoes, peeled and sliced', '1 onion, sliced', '1 1/2 lb. raw hamburger', '1 large can beef vegetable soup', '1/2 can water']","""['potato', 'onion', 'beef', 'beef vegetable soup', 'water']"""
842,Potatoes Romanoff,"['1 pkg. frozen hash browns', '1 small onion', '2 Tbsp. oleo', '1 can cream of chicken soup', '1 can Cheddar cheese soup', '1/2 tsp. salt', '1/4 tsp. pepper', '1 c. sour cream', '1 (13 oz.) can evaporated milk (not diluted)', '1/2 c. crushed cornflakes', '1/2 c. margarine']","""['hash brown', 'onion', 'oleo', 'cream of chicken soup', 'cheddar cheese soup', 'salt', 'black pepper', 'sour cream', 'evaporated milk', 'crushed cornflakes', 'margarine']"""
843,Enchilada Casserole,"['1 lb. ground chuck', '1 onion, chopped', '1 pkg. flour tortillas', '1 can enchilada sauce', '1 can cream of mushroom soup', '1 can cream of chicken soup', '6 oz. grated cheese (approximately)']","""['ground beef', 'onion', 'flour tortilla', 'enchilada sauce', 'cream of mushroom soup', 'cream of chicken soup', 'cheese']"""
844,Recipe For A Happy Family,"['1 Husband', '1 Wife', 'Children; 1 Bible for each', '1 Home', 'generous portions of Prayer', '3 c. Love, firmly packed', '1 pkg. Work', '1 pkg. Playing Together', '1 portion Patience', '1 portion Understanding', '1 small Paddle', '1 c. Kisses']","""['husband', 'wife', 'bible', 'home', 'prayer', 'love', 'work', 'playing together', 'patience', 'understanding', 'paddle', 'kisses']"""
845,Country Casserole,"['1 lb. Velveeta cheese, cubed (I use about 3/4 lb.)', '1 c. milk', '1/2 c. Miracle Whip', '2 c. chopped turkey or chicken, cooked', '1 (10 oz.) pkg. frozen peas and carrots, cooked and drained', '5 oz. spaghetti, cooked and drained', '1 Tbsp. chopped chives or minced onions']","""['vegana cheese', 'milk', 'miracle whip', 'turkey or chicken', 'frozen peas and carrots', 'spaghetti', 'chives or onions']"""
846,Party Pizza Appetizers(Makes 90),"['1 lb. hot sausage, cooked, drained and crumbled', '1 c. chopped onion', '1/2 c. sharp cheese, grated', '1/2 c. grated Parmesan cheese (from wedge)', '1 1/2 tsp. oregano', '1 tsp. garlic salt', '1 (8 oz.) can tomato sauce', '1 (6 oz.) can tomato paste', '3 cans flaky biscuits']","""['sausage', 'onion', 'cheese', 'parmesan', 'oregano', 'garlic salt', 'tomato sauce', 'tomato paste', 'biscuit']"""
847,Strawberry Bread,"['2 c. flour', '2 c. sugar', '1 tsp. baking soda', '1 tsp. cinnamon', '4 eggs, beaten', '1 1/4 c. vegetable oil', '2 pkg. (10 oz.) frozen strawberries, thawed and chopped']","""['flour', 'sugar', 'baking soda', 'cinnamon', 'egg', 'vegetable oil', 'strawberry']"""
848,Red Lobster Cheese Garlic Biscuits,"['2 cups Bisquick', '2/3 cup milk', '1/2 cup shredded cheddar cheese', '1/2 cup butter, melted', '1/4 tsp. garlic powder']","""['bisquick', 'milk', 'cheddar cheese', 'butter', 'garlic powder']"""
849,Date Rolled Cookies,"['1 c. butter', '1 c. white sugar', '1 c. brown sugar', '1 tsp. salt', '3 beaten eggs', '1 Tbsp. vanilla', '4 c. flour', '1 1/2 tsp. soda', '1 Tbsp. cold water']","""['butter', 'white sugar', 'brown sugar', 'salt', 'egg', 'vanilla', 'flour', 'baking soda', 'water']"""
850,Pineapple Mold,"['1 small (3 oz.) pkg. lemon jello', '1 (3 oz.) pkg. lime jello', '2 c. boiling water', '10 oz. (1 1/4 c.) cottage cheese', '1 (No. 2 ) can crushed pineapple', '2/3 c. walnuts', '1 c. cream', '1 c. mayonnaise (not salad dressing)', '1 to 3 Tbsp. horseradish to taste']","""['lemon jello', 'lime jello', 'water', 'cottage cheese', 'crushed pineapple', 'walnut', 'cream', 'mayonnaise', 'horseradish']"""
851,Play Doh,"['1 1/2 c. all-purpose flour', '1/2 c. salt', '1 Tbsp. alum', '1 c. hot water', '1 Tbsp. cooking oil', 'food coloring']","""['flour', 'salt', 'alum', 'water', 'oil', 'food coloring']"""
852,Layered Salad,"['1/2 head shredded lettuce', '1 box frozen peas', '4 hard-boiled eggs, cut up', '1/2 lb. bacon, cooked and crumbled', '1 can sliced water chestnuts', '1/2 head shredded lettuce', '1 pkg. Ranch dressing', '1 c. mayonnaise', '1 c. sour cream', 'shredded Cheddar cheese']","""['shredded lettuce', 'frozen peas', 'egg', 'bacon', 'water chestnut', 'ranch dressing', 'mayonnaise', 'sour cream', 'cheddar cheese']"""
853,Sour Cream Potatoes,"['2 lb. bag frozen hash browns, thawed', '1 pt. sour cream', '2 c. or 10 oz. grated Cheddar cheese', '2 cans cream of chicken soup', '1/2 c. melted butter', '1 tsp. salt', '1/4 tsp. pepper', '1/2 c. chopped onion']","""['frozen hash browns', 'sour cream', 'cheddar cheese', 'cream of chicken soup', 'butter', 'salt', 'black pepper', 'onion']"""
854,Creamy Banana Pudding,"['1 (14 oz.) can Eagle Brand condensed milk', '1 1/2 c. cold water', '1 (3 1/2 oz.) pkg. instant vanilla pudding and pie filling mix', '2 c. whipping cream, whipped', '36 vanilla wafers', '3 medium bananas']","""['condensed milk', 'water', 'instant vanilla pudding and pie filling mix', 'whipping cream', 'vanilla wafers', 'banana']"""
855,Hush Puppies,"['1 1/2 c. corn meal', '1/2 c. flour', '1/2 tsp. baking soda', '3/4 c. buttermilk', '2 tsp. salt', '1 large finely cut onion']","""['corn meal', 'flour', 'baking soda', 'buttermilk', 'salt', 'onion']"""
856,Ground Beef Casserole,"['3 lb. ground beef', '1 small onion', '1 clove garlic', '1 c. bell pepper', '1/2 c. celery', '1 small tomato paste', '1 small tomato sauce', '1 small can mushrooms (stems and pieces)', '1 small can creamed corn', '1 small jar sliced olives', '1 (8 oz.) pkg. egg noodles', '1 stick sharp cheese']","""['ground beef', 'onion', 'garlic', 'bell pepper', 'celery', 'tomato paste', 'tomato sauce', 'mushrooms', 'cream corn', 'sliced olives', 'egg noodles', 'sharp cheese']"""
857,Lemon Fluff Jello,"['1 (3 oz.) pkg. lemon Jell-O', '1 c. boiling water', 'large can crushed pineapple with juice', '8 oz. cream cheese', '1/2 c. sugar', '8 oz. Cool Whip', '1/2 c. chopped pecans (optional)']","""['lemon jello', 'water', 'crushed pineapple', 'cream cheese', 'sugar', 'cool whip', 'pecan']"""
858,Quick Fruit Salad,"['1 can cherry pie filling', '1 (No. 2) can chunk pineapple', '2 c. miniature marshmallows', '4 very large bananas, sliced', '1/2 c. chopped pecans']","""['cherry pie filling', 'pineapple', 'marshmallow', 'banana', 'pecan']"""
859,Breaded Steak Rolls,"['cube steaks', 'bread crumbs or bread', 'parsley flakes', 'garlic powder', 'onion powder', 'tomato sauce', 'Parmesan cheese', 'salt and pepper']","""['cube steak', 'bread crumb', 'parsley', 'garlic powder', 'onion powder', 'tomato sauce', 'parmesan cheese', 'salt', 'black pepper']"""
860,Dirt Pie,"['2 pkg. instant French vanilla pudding (unprepared, keep in dry form)', '8 oz. cream cheese, softened', '3 1/2 c. milk', '3/4 c. powdered sugar', '1 pkg. Oreos', '8 or 12 oz. whipped topping']","""['instant french vanilla pudding', 'cream cheese', 'milk', 'powdered sugar', 'oreo', 'whipped topping']"""
861,Rich Beef And Gravy(Crock-Pot Recipe),"['2 to 2 1/2 lb. round steak', '1 (1 1/2 oz.) pkg. onion soup mix', '1/4 c. water', '1 (10 1/2 oz.) can cream of mushroom soup']","""['round steak', 'onion soup mix', 'water', 'cream of mushroom soup']"""
862,Chicken Maranda,"['1 large chicken, cooked, skinned and deboned', '1 can cream of chicken soup', '1 can cream of celery soup', '1 small can Pet milk (same amount of regular milk may be used)', '1 Tbsp. sage', '1 pkg. cornbread mix', '1 c. chicken broth']","""['chicken', 'cream of chicken soup', 'cream of celery soup', 'milk', 'sage', 'cornbread mix', 'chicken broth']"""
863,Apple-Banana Bread,"['4 eggs, beaten', '1 1/2 c. mashed bananas', '1 c. brown sugar, packed', '1/2 c. oil', '1 tsp. salt', '1/3 c. milk', '3 1/2 c. flour', '1 3/4 tsp. baking soda', '1 3/4 tsp. baking powder', '1 large apple, chopped', '1 c. chopped nuts']","""['egg', 'banana', 'brown sugar', 'oil', 'salt', 'milk', 'flour', 'baking soda', 'baking powder', 'apple', 'nut']"""
864,Mock Lobster Salad,"['30 soda crackers', '1 1/2 c. celery, finely chopped', '1 small green pepper, chopped', '3 eggs, boiled and diced', '1 small onion, diced', '1 1/2 c. tomato juice', '1 1/2 c. mayonnaise']","""['soda cracker', 'celery', 'pepper', 'egg', 'onion', 'tomato juice', 'mayonnaise']"""
865,Buttermilk Cake,"['2 c. sugar', '3/4 c. Crisco', '3 eggs', '2 c. all-purpose flour', '1 tsp. baking powder', '1/2 tsp. baking soda', '1/8 tsp. salt', '1 c. buttermilk', '1 Tbsp. almond flavoring', '1 tsp. vanilla']","""['sugar', 'crisco', 'egg', 'flour', 'baking powder', 'baking soda', 'salt', 'buttermilk', 'almond flavoring', 'vanilla']"""
866,Foolproof Chocolate Fudge,"['3 6 oz. pkg. semi-sweet chocolate morsels', '1 14 oz. can Eagle Brand sweetened condensed milk', 'Dash salt', '1 1/2 tsp. vanilla extract', '1/2 C. chopped nuts, optional']","""['chocolate morsel', 'sweetened condensed milk', 'salt', 'vanilla extract', 'nut']"""
867,Sweet And Sour Seashells,"['1 lb. small seashells, cooked', '2 Tbsp. corn oil', '3/4 c. sugar', '1/2 c. cider vinegar', '1/2 c. wine vinegar', '1/2 c. water', '3 Tbsp. Frenchs mustard', '1/8 tsp. salt', '1/8 tsp. black pepper', '2 small cucumbers', '2 small onions, diced']","""['seashell', 'corn oil', 'sugar', 'cider vinegar', 'wine vinegar', 'water', 'mustard', 'salt', 'black pepper', 'cucumber', 'onion']"""
868,Cornbread Salad,"['2 pkg. Jiffy cornbread mix, cooked, cooled and crumbled', '1 1/2 c. chopped onion', '1 medium green pepper, chopped', '3 medium firm tomatoes', '8 to 10 slices bacon, cooked, drained and crumbled', '1 1/2 c. cubed light Velveeta cheese', '1 1/2 c. salad dressing or mayo', '2 Tbsp. mustard', 'salt and pepper to taste']","""['jiffy cornbread mix', 'onion', 'green pepper', 'tomato', 'bacon', 'velveeta cheese', 'salad dressing', 'mayo', 'salt', 'black pepper']"""
869,Ham And Rice Casserole,"['1 can cream of mushroom soup', '1/2 c. milk', '1 1/3 c. precooked rice', '1 c. diced ham']","""['cream of mushroom soup', 'milk', 'rice', 'ham']"""
870,Zucchini Muffins,"['2 1/2 c. flour', '1 1/2 c. sugar', '1 c. chopped pecans', '1/2 c. quick cooking oats', '1 Tbsp. baking powder', '1 tsp. salt', '1 tsp. cinnamon', '4 eggs', '1 medium zucchini, shredded', '3/4 c. oil']","""['flour', 'sugar', 'pecan', 'oat', 'baking powder', 'salt', 'cinnamon', 'egg', 'zucchini', 'oil']"""
871,Chicken Parmesan,"['4 boneless chicken breasts', 'Italian dressing', 'Progresso bread crumbs', '1 jar spaghetti sauce', '1 whole small peeled onion', '1 peeled clove garlic', 'spaghetti noodles', 'Mozzarella cheese']","""['chicken', 'italian dressing', 'breadcrumb', 'spaghetti sauce', 'onion', 'garlic', 'spaghetti', 'mozzarella cheese']"""
872,Simple Cherry-Pineapple Crisp,"['1 can crushed pineapple', '1 can cherry pie filling', '1 box yellow cake mix', '1 stick margarine']","""['crushed pineapple', 'cherry pie filling', 'yellow cake mix', 'margarine']"""
873,Wacky Cake,"['3 c. flour', '2 c. sugar', '1/2 c. cocoa', '1 tsp. salt', '2 tsp. baking soda', '2 Tbsp. vinegar', '1 c. oil', '2 c. cold water']","""['flour', 'sugar', 'cocoa', 'salt', 'baking soda', 'vinegar', 'oil', 'water']"""
874,Cherry Torte,"['1 c. soft butter', '1 c. sugar', '2 tsp. vanilla', '4 to 5 egg yolks', '1/4 tsp. soda', '1 tsp. baking powder', '3 c. flour']","""['butter', 'sugar', 'vanilla', 'egg yolk', 'baking soda', 'baking powder', 'flour']"""
875,Red Raspberry Cordial,"['4 c. raspberries', '4 c. sugar', '2 c. gin or vodka']","""['raspberry', 'sugar', 'gin', 'vodka']"""
876,Pavlova(Australia'S National Dessert),"['4 egg whites, at room temperature', '1/4 tsp. salt', '1/4 tsp. cream of tartar', '1 c. sugar', '2 c. sweetened whipping cream', '3 c. fruit of your choice']","""['egg white', 'salt', 'cream of tartar', 'sugar', 'whipping cream', 'fruit']"""
877,Chunky Cheddar Chili Beans,"['1 lb. ground beef', '1 can kidney beans, rinsed and drained', '1/2 c. chopped onions', '1 lb. can whole tomatoes, chopped', '6 oz. can tomato paste', '1 Tbsp. chili powder', '2 tsp. sugar', '1 tsp. salt', '1/4 tsp. pepper', 'cubed Cheddar cheese']","""['ground beef', 'kidney beans', 'onion', 'tomato', 'tomato paste', 'chili powder', 'sugar', 'salt', 'black pepper', 'cheddar cheese']"""
878,Lazy Day Chicken,"['1 1/4 lb. boneless, skinless chicken breast', '1 can Hunts Special chunky tomato sauce', '2 Tbsp. dried onion flakes', '1 packet instant beef flavored broth mix', '1/2 c. water']","""['chicken breast', 'tomato sauce', 'onion', 'beef broth', 'water']"""
879,Chicken Pot Pie,"['breast of chicken, cooked and diced', '1 can cream of celery soup', '1 can cream of chicken soup', '1 soup can water', '1 can Veg-All, well drained']","""['chicken', 'cream of celery soup', 'cream of chicken soup', 'water', 'veg-all']"""
880,Frito Salad,"['2 tomatoes, diced', '1 head lettuce, chopped', '2 c. grated cheese', '1 medium bag Fritos', '1 bottle Catalina dressing', '1 can Ranch Style beans']","""['tomato', 'lettuce', 'cheese', 'frito', 'catalina dressing', 'ranch style bean']"""
881,Marinated Beef Slices,"['1/2 lb. cooked sirloin or roast beef (rare)', '1 onion, thinly sliced and separated in rings', '3/4 tsp. salt', 'dash of pepper', '1 1/2 Tbsp. lemon juice', '1 c. dairy sour cream']","""['sirloin', 'onion', 'salt', 'black pepper', 'lemon juice', 'sour cream']"""
882,Chicken And Stuffing Bake,"['3 c. cut cooked chicken or turkey', '1 medium stalk celery, chopped', '1/2 c. water', '1 c. condensed cream of chicken soup', '3 1/2 c. herb seasoned croutons', '1 medium onion', '1/3 c. margarine or butter', '1 1/2 c. water']","""['chicken', 'celery', 'water', 'chicken soup', 'crouton', 'onion', 'margarine', 'butter']"""
883,Turkey Casserole,"['4 c. or 1 (28 oz.) can turkey, cut into small chunks (including juice)', '1 can cream of mushroom soup', '1 can cream of celery soup', '1 can cream of chicken soup', '1 1/2 c. Minute rice']","""['turkey', 'cream of mushroom soup', 'cream of celery soup', 'cream of chicken soup', 'rice']"""
884,Pancakes,"['1 egg', '1 c. all-purpose flour', '2 Tbsp. oil', '1 c. buttermilk', '1 Tbsp. sugar', '1 tsp. baking powder', '1/2 tsp. baking soda', '1/2 tsp. salt']","""['egg', 'flour', 'oil', 'buttermilk', 'sugar', 'baking powder', 'baking soda', 'salt']"""
885,Easy Jello Salad,"['8 oz. cottage cheese', '6 oz. Cool Whip', '3 oz. Jell-O', 'fruit, well drained']","""['cottage cheese', 'cool whip', 'jell-o', 'fruit']"""
886,Linguine Salad,"['1 lb. linguine, cooked', '1 large tomato', '1 large cucumber', '1 large onion', '1 bottle Italian dressing (16 oz.)', '1/2 jar Salad Supreme']","""['linguine', 'tomato', 'cucumber', 'onion', 'italian dressing', 'salad supreme']"""
887,Hobo Bread(Brown Bread),"['2 1/2 c. leftover coffee or prepared instant', '4 tsp. baking soda', '2 c. raisins', '1 c. white sugar', '1 1/2 c. chopped nuts', '4 c. sifted flour', '1/4 tsp. salt']","""['leftover coffee', 'baking soda', 'raisins', 'sugar', 'nuts', 'flour', 'salt']"""
888,Meltaways,"['1 (8 oz.) softened cream cheese', '1 c. softened margarine or butter', '2 c. flour']","""['cream cheese', 'margarine', 'butter', 'flour']"""
889,Snickerdoodles,"['1/2 c. butter, softened', '1/2 c. shortening', '1 1/2 c. sugar', '2 eggs', '2 3/4 c. flour', '2 tsp. cream of tartar', '1 tsp. soda', '1/4 tsp. salt', '2 Tbsp. sugar', '2 tsp. cinnamon']","""['butter', 'shortening', 'sugar', 'egg', 'flour', 'cream of tartar', 'baking soda', 'salt', 'cinnamon']"""
890,Sundown Cooler,"['34 oz. lemon lime soda', '1 (1 liter) bottle dry white wine', '1 lemon, thinly sliced', '1 lime, thinly sliced']","""['baking soda', 'dry white wine', 'lemon', 'lime']"""
891,Oreo Dirt Cake,"['1 1/4 lb. oreo cookies', '1/4 C margarine', '1 C powdered sugar', '8 oz cream cheese', '12 oz Cool Whip', '2 small packages instant chocolate pudding', '3 1/2 C milk']","""['oreo cookie', 'margarine', 'powdered sugar', 'cream cheese', 'cool whip', 'instant chocolate pudding', 'milk']"""
892,Parmesan Meat Loaf,"['1 lb. ground beef', '1 c. large curd cottage cheese', '1/2 c. oatmeal', '1 egg, beaten', '1/4 c. catsup', '2 Tbsp. mustard', '2 tsp. chopped onion', '1 tsp. salt', 'pepper to taste', '1/2 c. grated Parmesan cheese']","""['ground beef', 'cottage cheese', 'oatmeal', 'egg', 'catsup', 'mustard', 'onion', 'salt', 'pepper', 'parmesan cheese']"""
893,Spinach Squares,"['1 c. all-purpose flour', '1 tsp. baking powder', '2 eggs, beaten', '1 c. milk', '1/4 c. melted butter or margarine', '1/2 c. chopped onion', '1/2 c. shredded Cheddar cheese', '1 (10 oz.) pkg. chopped spinach, thawed and drained']","""['flour', 'baking powder', 'egg', 'milk', 'butter', 'onion', 'cheddar cheese', 'spinach']"""
894,Sweet Baked Beans,"['2 small cans pork and beans', '1 small onion, chopped', '1 large dill pickle, chopped', '1 c. sugar', '1/2 c. brown sugar', '1 Tbsp. ketchup', '1 tsp. mustard']","""['pork and beans', 'onion', 'pickle', 'sugar', 'brown sugar', 'ketchup', 'mustard']"""
